high scan speed (mm/s) and hatch spacing (mm),shap,lowess high scan speed (mm/s) and hatch spacing (mm),lowess shap,low scan speed (mm/s) and hatch spacing (mm),shap,lowess low scan speed (mm/s) and hatch spacing (mm),lowess shap
0.065,-0.014288470149040222,0.06,-0.005445380057779183,0.09,-0.022352512925863266,0.065,0.02629260382146326
0.13,0.0227021723985672,0.06,-0.005445380057779183,0.14,-0.02616015076637268,0.065,0.02629260382146326
0.121,0.029038503766059875,0.06,-0.005445380057779183,0.1,-0.009902387857437134,0.065,0.02629260382146326
0.15,0.017515618354082108,0.06,-0.005445380057779183,0.14,-0.0353270024061203,0.065,0.02629260382146326
0.04,-0.030613305047154427,0.06,-0.005445380057779183,0.065,0.08438737690448761,0.065,0.02629260382146326
0.12,0.004450306296348572,0.06,-0.005445380057779183,0.065,0.07706787437200546,0.065,0.02629260382146326
0.1,-0.004010654985904694,0.06,-0.005445380057779183,0.08,-0.0026394426822662354,0.065,0.02629260382146326
0.13,-0.002002198249101639,0.06,-0.005445380057779183,0.07,0.010273225605487823,0.065,0.02629260382146326
0.05,-0.029985832050442696,0.06,-0.005445380057779183,0.065,0.11335733532905579,0.065,0.02629260382146326
0.09,0.003923509269952774,0.06,-0.005445380057779183,0.08,0.01816152222454548,0.065,0.02629260382146326
0.12,-0.004205369856208563,0.06,-0.005445380057779183,0.12,-0.05396386981010437,0.065,0.02629260382146326
0.08,-0.014061149209737778,0.06,-0.005445380057779183,0.1,-0.01505839079618454,0.065,0.02629260382146326
0.15,0.027005106210708618,0.06,-0.005445380057779183,0.065,0.07873779535293579,0.065,0.02629260382146326
0.16,0.01853621006011963,0.06,-0.005445380057779183,0.06,0.003978261258453131,0.065,0.02629260382146326
0.14,0.009873155504465103,0.06,-0.005445380057779183,0.1,-0.01319904625415802,0.065,0.02629260382146326
0.09,-0.001694604754447937,0.06,-0.005445380057779183,0.05,0.04227757453918457,0.065,0.02629260382146326
0.12,0.027422912418842316,0.06,-0.005445380057779183,0.065,0.07066049426794052,0.065,0.02629260382146326
0.14,-0.02281082049012184,0.06,-0.005445380057779183,0.12,-0.017361238598823547,0.065,0.02629260382146326
0.2,0.04316491633653641,0.06,-0.005445380057779183,0.1,0.0049199312925338745,0.065,0.02629260382146326
0.11,0.0007679387927055359,0.06,-0.005445380057779183,0.09,0.0008579418063163757,0.065,0.02629260382146326
0.1,0.001961801201105118,0.061,-0.005316618306527991,0.1,0.021606571972370148,0.065,0.02629260382146326
0.06,0.009468041360378265,0.065,-0.004786698873695858,0.12,-0.07452213764190674,0.065,0.02629260382146326
0.13,0.012767069041728973,0.065,-0.004786698873695858,0.1,0.026690486818552017,0.065,0.02629260382146326
0.11,0.0034685060381889343,0.065,-0.004786698873695858,0.11,0.013684973120689392,0.065,0.02629260382146326
0.13,-0.008398301899433136,0.065,-0.004786698873695858,0.05,0.04241624474525452,0.065,0.02629260382146326
0.08,0.00739482045173645,0.065,-0.004786698873695858,0.065,0.07413573563098907,0.065,0.02629260382146326
0.07,3.653392195701599e-05,0.065,-0.004786698873695858,0.065,0.07482151687145233,0.065,0.02629260382146326
0.08,-0.004439711570739746,0.065,-0.004786698873695858,0.12,-0.05845096707344055,0.065,0.02629260382146326
0.06,0.01870204694569111,0.065,-0.004786698873695858,0.1,-0.010363295674324036,0.065,0.02629260382146326
0.07,-0.0067685795947909355,0.065,-0.004786698873695858,0.11,0.012531625106930733,0.065,0.02629260382146326
0.06,-0.02217443473637104,0.065,-0.004786698873695858,0.15,0.008398085832595825,0.065,0.02629260382146326
0.08,-0.011038260534405708,0.065,-0.004786698873695858,0.07,0.008353658020496368,0.065,0.02629260382146326
0.14,0.01135990023612976,0.065,-0.004786698873695858,0.08,0.0088052898645401,0.065,0.02629260382146326
0.085,0.0007877051830291748,0.065,-0.004786698873695858,0.065,0.11012685298919678,0.065,0.02629260382146326
0.13,0.012597441673278809,0.065,-0.004786698873695858,0.13,-0.010716613382101059,0.065,0.02629260382146326
0.13,0.0053527578711509705,0.066,-0.004650592079201875,0.11,0.012481095269322395,0.065,0.02629260382146326
0.12,-0.026002585887908936,0.069,-0.004233369661560376,0.05,-0.016759537160396576,0.065,0.02629260382146326
0.12,0.048989519476890564,0.07,-0.004091118042784752,0.175,0.029834944754838943,0.065,0.02629260382146326
0.11,-0.0008121505379676819,0.07,-0.004091118042784752,0.03,-0.0023273229598999023,0.065,0.02629260382146326
0.157,-0.039849959313869476,0.07,-0.004091118042784752,0.126,0.05421468988060951,0.065,0.02629260382146326
0.12,0.012991048395633698,0.07,-0.004091118042784752,0.08,0.012990005314350128,0.065,0.02629260382146326
0.12,0.027163047343492508,0.07,-0.004091118042784752,0.06,0.009840697050094604,0.065,0.02629260382146326
0.15,0.04163426160812378,0.07,-0.004091118042784752,0.13,0.009720861911773682,0.065,0.02629260382146326
0.08,0.009268529713153839,0.07,-0.004091118042784752,0.05,0.01970510184764862,0.065,0.02629260382146326
0.12,0.015380151569843292,0.07,-0.004091118042784752,0.065,0.07461156696081161,0.065,0.02629260382146326
0.12,0.016727246344089508,0.07,-0.004091118042784752,0.04,-0.007407418452203274,0.065,0.02629260382146326
0.09,-0.004581846296787262,0.07,-0.004091118042784752,0.12,0.015668552368879318,0.065,0.02629260382146326
0.1,0.0035957135260105133,0.07,-0.004091118042784752,0.12,-0.00634364876896143,0.065,0.02629260382146326
0.1,0.009667836129665375,0.07,-0.004091118042784752,0.14,0.006510112434625626,0.065,0.02629260382146326
0.077,-0.005459971725940704,0.07,-0.004091118042784752,0.03,0.003876596689224243,0.065,0.02629260382146326
0.1,-0.003907237201929092,0.07,-0.004091118042784752,0.07,0.01805778034031391,0.065,0.02629260382146326
0.12,0.009404897689819336,0.07,-0.004091118042784752,0.09,-0.01790570095181465,0.065,0.02629260382146326
0.15,0.015146013349294662,0.07,-0.004091118042784752,0.08,-0.0079522505402565,0.065,0.02629260382146326
0.07,-0.003904983401298523,0.07,-0.004091118042784752,0.065,0.09092245995998383,0.065,0.02629260382146326
0.1,-0.005395322106778622,0.07,-0.004091118042784752,0.08,0.01953653246164322,0.065,0.02629260382146326
0.08,-0.020856857299804688,0.07,-0.004091118042784752,0.1,-0.009167126379907131,0.065,0.02629260382146326
0.05,0.006994929164648056,0.07,-0.004091118042784752,0.095,-0.04224134236574173,0.065,0.02629260382146326
0.1,-0.0016352459788322449,0.07,-0.004091118042784752,0.08,0.015991635620594025,0.07,0.0241667377642101
0.06,-0.024687375873327255,0.07,-0.004091118042784752,0.065,0.05320129916071892,0.07,0.0241667377642101
0.1,-0.012862101197242737,0.07,-0.004091118042784752,0.06,0.007907092571258545,0.07,0.0241667377642101
0.06,0.056937143206596375,0.07,-0.004091118042784752,0.06,0.0030560940504074097,0.07,0.0241667377642101
0.1,-0.003221612423658371,0.07,-0.004091118042784752,0.065,0.07803910225629807,0.07,0.0241667377642101
0.07,0.005906403064727783,0.07,-0.004091118042784752,0.13,-0.02579861506819725,0.07,0.0241667377642101
0.12,0.06566233932971954,0.07,-0.004091118042784752,0.065,0.10459743440151215,0.07,0.0241667377642101
0.12,0.010125413537025452,0.07,-0.004091118042784752,0.12,-0.06835567951202393,0.07,0.0241667377642101
0.04,0.005721986293792725,0.07,-0.004091118042784752,0.05,-0.005349777638912201,0.07,0.0241667377642101
0.1,0.004841631278395653,0.07,-0.004091118042784752,0.06,0.0019389986991882324,0.07,0.0241667377642101
0.105,0.001358918845653534,0.07,-0.004091118042784752,0.04,0.034785352647304535,0.07,0.0241667377642101
0.1,0.00657220184803009,0.07,-0.004091118042784752,0.11,0.029538743197917938,0.07,0.0241667377642101
0.14,0.029143251478672028,0.07,-0.004091118042784752,0.13,-0.022912099957466125,0.07,0.0241667377642101
0.1,-0.011745326220989227,0.07,-0.004091118042784752,0.075,0.015017908997833729,0.07,0.0241667377642101
0.1,-0.007516161072999239,0.07,-0.004091118042784752,0.09,0.007920697331428528,0.07,0.0241667377642101
0.075,0.009599636308848858,0.07,-0.004091118042784752,0.065,0.08375249803066254,0.07,0.0241667377642101
0.11,-0.0024706609547138214,0.07,-0.004091118042784752,0.065,0.08545956015586853,0.07,0.0241667377642101
0.15,0.044085174798965454,0.07,-0.004091118042784752,0.05,0.007087960839271545,0.07,0.0241667377642101
0.03,-0.01777227781713009,0.07,-0.004091118042784752,0.11,0.012069065123796463,0.07,0.0241667377642101
0.06,-0.027696870267391205,0.07,-0.004091118042784752,0.12,-0.059318795800209045,0.07,0.0241667377642101
0.1,-0.003190450370311737,0.07,-0.004091118042784752,0.09,0.0065016970038414,0.07,0.0241667377642101
0.14,0.028354134410619736,0.07,-0.004091118042784752,0.08,0.018216988071799278,0.07,0.0241667377642101
0.14,0.0018670009449124336,0.07,-0.004091118042784752,0.03,-0.017880238592624664,0.075,0.021583777870686157
0.2,-0.00592288002371788,0.07,-0.004091118042784752,0.12,-0.026681020855903625,0.075,0.021583777870686157
0.09,-0.010604352690279484,0.07,-0.004091118042784752,0.1,0.02806452289223671,0.075,0.021583777870686157
0.13,0.02170620858669281,0.07,-0.004091118042784752,0.065,0.07563060522079468,0.075,0.021583777870686157
0.15,0.060744695365428925,0.07,-0.004091118042784752,0.065,0.07950997352600098,0.08,0.01711627928774297
0.1,-0.0003610961139202118,0.07,-0.004091118042784752,0.15,-0.012419642880558968,0.08,0.01711627928774297
0.09,-0.0017710868269205093,0.07,-0.004091118042784752,0.065,0.08733192086219788,0.08,0.01711627928774297
0.13,0.023203164339065552,0.07,-0.004091118042784752,0.065,0.08231262862682343,0.08,0.01711627928774297
0.06,-0.029922394081950188,0.07,-0.004091118042784752,0.12,-0.0667315423488617,0.08,0.01711627928774297
0.11,-0.031356096267700195,0.07,-0.004091118042784752,0.06,0.005326216109097004,0.08,0.01711627928774297
0.12,0.017657212913036346,0.07,-0.004091118042784752,0.12,-0.005454615224152803,0.08,0.01711627928774297
0.07,-0.006730183959007263,0.07,-0.004091118042784752,0.07,0.0019555650651454926,0.08,0.01711627928774297
0.12,0.012156542390584946,0.07,-0.004091118042784752,0.126,-0.0066496506333351135,0.08,0.01711627928774297
0.12,0.016634587198495865,0.07,-0.004091118042784752,0.08,0.0028380900621414185,0.08,0.01711627928774297
0.031,0.052391186356544495,0.07,-0.004091118042784752,0.065,0.08880060911178589,0.08,0.01711627928774297
0.265,0.006572199985384941,0.07,-0.004091118042784752,0.11,0.011501811444759369,0.08,0.01711627928774297
0.12,0.008748331107199192,0.07,-0.004091118042784752,0.12,-0.0528763085603714,0.08,0.01711627928774297
0.071,-0.007664710283279419,0.07,-0.004091118042784752,0.1,0.020751621574163437,0.08,0.01711627928774297
0.12,0.022527381777763367,0.07,-0.004091118042784752,0.09,-0.006304707378149033,0.08,0.01711627928774297
0.14,0.002320844680070877,0.07,-0.004091118042784752,0.09,-0.008341562002897263,0.08,0.01711627928774297
0.13,0.010815072804689407,0.07,-0.004091118042784752,0.14,0.005339540541172028,0.08,0.01711627928774297
0.13,-0.0037595033645629883,0.071,-0.00394741486013889,0.14,0.017685145139694214,0.08,0.01711627928774297
0.11,-0.0037869978696107864,0.075,-0.0033732016924127913,0.08,0.016925951465964317,0.08,0.01711627928774297
0.08,-0.014040088281035423,0.075,-0.0033732016924127913,0.12,-0.06055733561515808,0.08,0.01711627928774297
0.08,-0.008871763944625854,0.075,-0.0033732016924127913,0.14,0.017964504659175873,0.08,0.01711627928774297
0.1,0.0006724521517753601,0.075,-0.0033732016924127913,0.1,-0.05411793291568756,0.08,0.01711627928774297
0.13,0.018478989601135254,0.075,-0.0033732016924127913,0.12,-0.06031140685081482,0.08,0.01711627928774297
0.2,0.008403470739722252,0.075,-0.0033732016924127913,0.1,-0.01889057457447052,0.08,0.01711627928774297
0.12,0.015304692089557648,0.075,-0.0033732016924127913,0.12,-0.10425135493278503,0.08,0.01711627928774297
0.2,0.04529678821563721,0.077,-0.003112652721763906,0.065,0.049557656049728394,0.08,0.01711627928774297
0.12,0.01869567483663559,0.077,-0.003112652721763906,0.06,0.003748786635696888,0.08,0.01711627928774297
0.1,-0.006244432181119919,0.077,-0.003112652721763906,0.05,0.047883424907922745,0.08,0.01711627928774297
0.1,-0.0064481161534786224,0.077,-0.003112652721763906,0.09,0.00349348783493042,0.08,0.01711627928774297
0.14,0.015324607491493225,0.077,-0.003112652721763906,0.13,-0.007195509970188141,0.08,0.01711627928774297
0.09,0.015027366578578949,0.078,-0.002998501118265118,0.1,0.01798473671078682,0.08,0.01711627928774297
0.065,-0.13143250346183777,0.078,-0.002998501118265118,0.124,0.01735064387321472,0.08,0.01711627928774297
0.07,-0.020645136013627052,0.078,-0.002998501118265118,0.12,-0.010216683149337769,0.08,0.01711627928774297
0.03,0.05296839028596878,0.08,-0.002806211761557715,0.065,0.06890671700239182,0.08,0.01711627928774297
0.13,0.013127202168107033,0.08,-0.002806211761557715,0.065,0.08708742260932922,0.08,0.01711627928774297
0.1,-0.0006967149674892426,0.08,-0.002806211761557715,0.11,0.007883131504058838,0.08,0.01711627928774297
0.13,0.0128089040517807,0.08,-0.002806211761557715,0.04,-0.0029289480298757553,0.08,0.01711627928774297
0.1,0.0039064958691596985,0.08,-0.002806211761557715,0.07,0.0037107840180397034,0.08,0.01711627928774297
0.12,0.03340311348438263,0.08,-0.002806211761557715,0.13,0.0010477975010871887,0.08,0.01711627928774297
0.09,-0.0074501801282167435,0.08,-0.002806211761557715,0.12,0.005105644464492798,0.09,0.0045966881604418254
0.12,0.019493328407406807,0.08,-0.002806211761557715,0.09,0.005912281572818756,0.09,0.0045966881604418254
0.05,-0.004667831584811211,0.08,-0.002806211761557715,0.08,-0.012552930042147636,0.09,0.0045966881604418254
0.08,-0.0025826964993029833,0.08,-0.002806211761557715,0.13,-0.00187668576836586,0.09,0.0045966881604418254
0.2,0.02208271250128746,0.08,-0.002806211761557715,0.1,0.030720693990588188,0.09,0.0045966881604418254
0.13,-0.025827651843428612,0.08,-0.002806211761557715,0.124,0.07116122543811798,0.09,0.0045966881604418254
0.1,0.0003001745790243149,0.08,-0.002806211761557715,0.09,0.005667492747306824,0.09,0.0045966881604418254
0.04,-0.029015876352787018,0.08,-0.002806211761557715,0.09,-0.021776126697659492,0.09,0.0045966881604418254
0.04,-0.029030941426753998,0.08,-0.002806211761557715,0.111,-0.036755092442035675,0.09,0.0045966881604418254
0.08,-0.0005936622619628906,0.08,-0.002806211761557715,0.075,-0.019096314907073975,0.09,0.0045966881604418254
0.13,0.01223330944776535,0.08,-0.002806211761557715,0.1,-0.016993507742881775,0.09,0.0045966881604418254
0.08,-0.009020346216857433,0.08,-0.002806211761557715,0.13,0.008862480521202087,0.09,0.0045966881604418254
0.13,-0.005370482802391052,0.08,-0.002806211761557715,0.05,0.04130345210433006,0.09,0.0045966881604418254
0.1,-0.0012037158012390137,0.08,-0.002806211761557715,0.13,-0.015635795891284943,0.09,0.0045966881604418254
0.15,0.036710284650325775,0.08,-0.002806211761557715,0.13,-0.054630570113658905,0.09,0.0045966881604418254
0.08,-0.006669431924819946,0.08,-0.002806211761557715,0.08,0.022357769310474396,0.09,0.0045966881604418254
0.12,0.009972061961889267,0.08,-0.002806211761557715,0.1,0.005554892122745514,0.09,0.0045966881604418254
0.1,-0.009384547360241413,0.08,-0.002806211761557715,0.12,0.003326933830976486,0.09,0.0045966881604418254
0.07,-0.000705815851688385,0.08,-0.002806211761557715,0.08,-0.004523459821939468,0.09,0.0045966881604418254
0.2,0.018890973180532455,0.08,-0.002806211761557715,0.04,0.009286969900131226,0.09,0.0045966881604418254
0.09,0.009676530957221985,0.08,-0.002806211761557715,0.08,0.00984194129705429,0.09,0.0045966881604418254
0.09,0.007982412353157997,0.08,-0.002806211761557715,0.12,-0.05744063854217529,0.09,0.0045966881604418254
0.09,-0.0059616342186927795,0.08,-0.002806211761557715,0.095,-0.0047312043607234955,0.09,0.0045966881604418254
0.1,0.004586987197399139,0.08,-0.002806211761557715,0.045,0.025651821866631508,0.09,0.0045966881604418254
0.129,0.016140349209308624,0.08,-0.002806211761557715,0.05,-0.00839611142873764,0.09,0.0045966881604418254
