high scan speed (mm/s) and laser power (watt),shap,lowess high scan speed (mm/s) and laser power (watt),lowess shap,medium scan speed (mm/s) and laser power (watt),shap,lowess medium scan speed (mm/s) and laser power (watt),lowess shap,low scan speed (mm/s) and laser power (watt),shap,lowess low scan speed (mm/s) and laser power (watt),lowess shap
250.0,0.033102452754974365,120.0,-0.04788671105561402,180.0,-0.005129957105964422,95.0,0.0020817277347766616,75.0,0.046452902257442474,90.0,0.06744180166572342
150.0,-0.10294844210147858,120.0,-0.04788671105561402,200.0,0.008904708549380302,95.0,0.0020817277347766616,125.0,-0.0032487809658050537,90.0,0.06744180166572342
200.0,0.036814335733652115,125.0,-0.04466631640444835,140.0,0.0022882334887981415,100.0,0.002646858756433239,465.0,-0.050406549125909805,93.0,0.06594843287525909
300.0,-0.0028092199936509132,125.0,-0.04466631640444835,160.0,-0.0014837682247161865,100.0,0.002646858756433239,170.0,0.03809881582856178,95.0,0.06495527772916923
225.0,0.012965187430381775,125.0,-0.04466631640444835,110.0,0.00999524537473917,100.0,0.002646858756433239,250.0,-0.021538952365517616,95.0,0.06495527772916923
300.0,0.06375118345022202,128.0,-0.042742452731620306,150.0,0.04429958015680313,100.0,0.002646858756433239,200.0,-0.02743750810623169,95.0,0.06495527772916923
250.0,0.045829854905605316,128.0,-0.042742452731620306,250.0,0.03605858236551285,100.0,0.002646858756433239,495.0,-0.07368707656860352,95.0,0.06495527772916923
125.0,-0.06516841053962708,130.0,-0.0414632809313443,170.0,-0.003756307065486908,100.0,0.002646858756433239,200.0,0.011093158274888992,95.0,0.06495527772916923
275.0,0.01583186164498329,135.0,-0.03827601109098418,350.0,0.011714145541191101,100.0,0.002646858756433239,80.0,0.04512268304824829,95.0,0.06495527772916923
350.0,0.022016584873199463,135.0,-0.03827601109098418,105.0,-0.03907890245318413,100.0,0.002646858756433239,200.0,0.018032172694802284,95.0,0.06495527772916923
250.0,0.04945022612810135,135.0,-0.03827601109098418,370.0,0.007488839328289032,100.0,0.002646858756433239,200.0,0.010267265141010284,95.0,0.06495527772916923
250.0,0.02584541030228138,140.0,-0.035099845389176404,195.0,0.020824015140533447,100.0,0.002646858756433239,170.0,0.003600228577852249,99.72,0.06262016048928772
350.0,0.01475503295660019,140.0,-0.035099845389176404,350.0,0.02447817474603653,100.0,0.002646858756433239,140.0,0.08931714296340942,100.0,0.06248201478724396
170.0,0.025036009028553963,140.0,-0.035099845389176404,200.0,0.011976666748523712,102.0,0.0028724578987217113,200.0,0.06992504000663757,100.0,0.06248201478724396
350.0,0.04613000527024269,145.0,-0.03192476362699495,200.0,0.012199409306049347,102.0,0.0028724578987217113,200.0,0.029776010662317276,100.0,0.06248201478724396
275.0,0.012851476669311523,145.0,-0.03192476362699495,200.0,0.024166608229279518,105.0,0.0032105532624259227,170.0,0.015565186738967896,100.0,0.06248201478724396
150.0,-0.16187594830989838,150.0,-0.028734175295535305,200.0,0.017860934138298035,105.0,0.0032105532624259227,66.48,0.10444288700819016,100.0,0.06248201478724396
200.0,0.017882568761706352,150.0,-0.028734175295535305,220.0,0.013403743505477905,110.0,0.0037738464976315588,105.0,0.1460421085357666,100.0,0.06248201478724396
200.0,0.01358233392238617,150.0,-0.028734175295535305,95.0,0.0029900968074798584,110.0,0.0037738464976315588,270.0,-0.025762997567653656,100.0,0.06248201478724396
150.0,-0.1319526731967926,150.0,-0.028734175295535305,60.0,-0.002849111333489418,120.0,0.0048960428382820885,95.0,0.15425869822502136,100.0,0.06248201478724396
170.0,0.01816605031490326,150.0,-0.028734175295535305,200.0,0.007903248071670532,120.0,0.0048960428382820885,210.0,-0.02706366777420044,100.0,0.06248201478724396
250.0,0.03375355154275894,150.0,-0.028734175295535305,300.0,0.004861302673816681,120.0,0.0048960428382820885,200.0,0.016454212367534637,100.0,0.06248201478724396
150.0,-0.10977800190448761,150.0,-0.028734175295535305,285.0,0.013179071247577667,125.0,0.005434662747114114,40.0,0.04171312600374222,100.0,0.06248201478724396
250.0,0.05082078278064728,150.0,-0.028734175295535305,350.0,-0.005428777076303959,125.0,0.005434662747114114,73.0,0.1040736734867096,100.0,0.06248201478724396
175.0,-0.0839441567659378,150.0,-0.028734175295535305,170.0,0.0247533917427063,125.0,0.005434662747114114,150.0,0.04563608020544052,100.0,0.06248201478724396
170.0,-0.007494866847991943,150.0,-0.028734175295535305,350.0,-0.007462155073881149,125.0,0.005434662747114114,75.0,0.03208746761083603,100.0,0.06248201478724396
350.0,0.04412335902452469,150.0,-0.028734175295535305,370.0,0.015903830528259277,125.0,0.005434662747114114,200.0,-0.019518226385116577,100.0,0.06248201478724396
300.0,0.04419771209359169,150.0,-0.028734175295535305,275.0,-0.019106082618236542,125.0,0.005434662747114114,100.0,0.09089698642492294,100.0,0.06248201478724396
190.0,0.009297497570514679,150.0,-0.028734175295535305,200.0,0.007493261247873306,125.0,0.005434662747114114,200.0,0.0025103166699409485,100.0,0.06248201478724396
155.0,0.004002172499895096,150.0,-0.028734175295535305,225.0,-0.02031410112977028,125.0,0.005434662747114114,250.0,-0.019590571522712708,100.0,0.06248201478724396
300.0,0.03291618824005127,150.0,-0.028734175295535305,250.0,0.011890105903148651,125.0,0.005434662747114114,300.0,-0.014776039868593216,100.0,0.06248201478724396
120.0,-0.04312247782945633,150.0,-0.028734175295535305,80.0,-0.004951506853103638,125.0,0.005434662747114114,300.0,-0.022874534130096436,100.0,0.06248201478724396
200.0,0.03855172172188759,150.0,-0.028734175295535305,95.0,-0.028553634881973267,125.0,0.005434662747114114,270.0,-0.0271340012550354,100.0,0.06248201478724396
350.0,0.05199538171291351,150.0,-0.028734175295535305,420.0,-0.011153534054756165,130.0,0.005928930283557233,125.0,0.0037974566221237183,100.0,0.06248201478724396
285.0,0.021948054432868958,150.0,-0.028734175295535305,200.0,0.02164706587791443,130.0,0.005928930283557233,200.0,-0.029216378927230835,100.0,0.06248201478724396
300.0,0.07018092274665833,150.0,-0.028734175295535305,250.0,0.015011679381132126,135.0,0.006344647971607295,200.0,-0.005966812372207642,100.0,0.06248201478724396
350.0,0.04178367555141449,150.0,-0.028734175295535305,175.0,0.02140434831380844,135.0,0.006344647971607295,200.0,0.05711444839835167,100.0,0.06248201478724396
200.0,-0.011785972863435745,153.0,-0.026803127183034615,225.0,0.024642497301101685,140.0,0.006832832267274299,200.0,0.011175870895385742,100.0,0.06248201478724396
200.0,-0.014946851879358292,153.0,-0.026803127183034615,190.0,0.011323265731334686,140.0,0.006832832267274299,200.0,-0.03151802718639374,100.0,0.06248201478724396
250.0,0.0425577238202095,153.0,-0.026803127183034615,40.0,-0.020666688680648804,145.0,0.007413625565333944,340.0,-0.014719516038894653,100.0,0.06248201478724396
370.0,0.059259429574012756,155.0,-0.02550542738594531,380.0,-0.02648554928600788,150.0,0.007912348699972928,340.0,-0.02429281175136566,100.0,0.06248201478724396
280.0,0.05414486303925514,155.0,-0.02550542738594531,340.0,0.018850058317184448,150.0,0.007912348699972928,200.0,-0.028775379061698914,105.0,0.06002083478369382
500.0,0.023215804249048233,155.0,-0.02550542738594531,50.0,-0.060070063918828964,150.0,0.007912348699972928,200.0,-0.02920946478843689,105.0,0.06002083478369382
250.0,-5.7656317949295044e-05,155.0,-0.02550542738594531,475.0,-0.034187089651823044,150.0,0.007912348699972928,87.0,0.1035178005695343,105.0,0.06002083478369382
370.0,0.07981421798467636,160.0,-0.02221837245357577,200.0,0.01734885573387146,150.0,0.007912348699972928,200.0,0.03612244874238968,105.0,0.06002083478369382
175.0,-0.08844165503978729,160.0,-0.02221837245357577,370.0,-0.016574088484048843,150.0,0.007912348699972928,150.0,0.02742464654147625,105.0,0.06002083478369382
250.0,0.0017603635787963867,160.0,-0.02221837245357577,150.0,-0.03108203411102295,150.0,0.007912348699972928,280.0,-0.09247817099094391,105.0,0.06002083478369382
170.0,0.013446781784296036,160.0,-0.02221837245357577,200.0,0.016088977456092834,150.0,0.007912348699972928,340.0,-0.024731751531362534,105.0,0.06002083478369382
280.0,0.06894992291927338,160.0,-0.02221837245357577,200.0,0.012673415243625641,150.0,0.007912348699972928,200.0,0.031948987394571304,105.0,0.06002083478369382
150.0,-0.03690632805228233,160.0,-0.02221837245357577,250.0,-0.003924481570720673,150.0,0.007912348699972928,175.0,0.0370178148150444,105.0,0.06002083478369382
250.0,0.000618956983089447,160.0,-0.02221837245357577,240.0,0.012760311365127563,150.0,0.007912348699972928,200.0,-0.01055639237165451,105.0,0.06002083478369382
350.0,-0.022091299295425415,160.0,-0.02221837245357577,250.0,-0.007513798773288727,150.0,0.007912348699972928,110.0,0.110736183822155,110.0,0.057564100934117846
280.0,0.03893318772315979,160.0,-0.02221837245357577,480.0,-0.006880566477775574,150.0,0.007912348699972928,200.0,-0.017420724034309387,110.0,0.057564100934117846
370.0,0.031725458800792694,160.0,-0.02221837245357577,280.0,-0.0076531171798706055,150.0,0.007912348699972928,200.0,0.043160997331142426,110.0,0.057564100934117846
350.0,0.0492013618350029,160.0,-0.02221837245357577,180.0,0.018085628747940063,150.0,0.007912348699972928,100.0,-0.03636600449681282,116.34,0.05442445688380153
200.0,0.010543815791606903,160.0,-0.02221837245357577,200.0,0.02216850221157074,150.0,0.007912348699972928,350.0,-0.012449052184820175,120.0,0.05256634237362109
150.0,-0.09353817254304886,160.0,-0.02221837245357577,380.0,-0.015492387115955353,150.0,0.007912348699972928,200.0,0.03348042815923691,120.0,0.05256634237362109
300.0,0.05687599629163742,160.0,-0.02221837245357577,300.0,-0.0316588468849659,150.0,0.007912348699972928,250.0,-0.02218126878142357,120.0,0.05256634237362109
100.0,-0.11536557227373123,160.0,-0.02221837245357577,170.0,0.011797979474067688,150.0,0.007912348699972928,200.0,0.017271846532821655,120.0,0.05256634237362109
225.0,-0.006976187229156494,160.0,-0.02221837245357577,195.0,0.005368538200855255,150.0,0.007912348699972928,160.0,-0.013859346508979797,120.0,0.05256634237362109
380.0,0.08091975748538971,160.81,-0.021625831689353437,250.0,-0.02431371994316578,150.0,0.007912348699972928,50.0,0.0980815440416336,120.0,0.05256634237362109
200.0,-0.015006106346845627,165.0,-0.01861478957388706,160.0,-0.009696558117866516,150.0,0.007912348699972928,175.0,-0.011020690202713013,125.0,0.04992762422037319
179.0,-0.06207863986492157,168.0,-0.016531861627227466,250.0,0.022024262696504593,150.0,0.007912348699972928,200.0,0.04054175317287445,125.0,0.04992762422037319
310.0,0.053362391889095306,170.0,-0.015204583595106732,175.0,0.040603216737508774,150.0,0.007912348699972928,200.0,0.06391516327857971,125.0,0.04992762422037319
300.0,0.04382273554801941,170.0,-0.015204583595106732,125.0,0.023186158388853073,150.0,0.007912348699972928,200.0,0.04623604938387871,125.0,0.04992762422037319
275.0,0.021092489361763,170.0,-0.015204583595106732,340.0,0.01906287670135498,150.0,0.007912348699972928,200.0,0.028398223221302032,125.0,0.04992762422037319
250.0,0.04685283079743385,170.0,-0.015204583595106732,175.0,0.01483113318681717,150.0,0.007912348699972928,125.0,0.0801926776766777,125.0,0.04992762422037319
370.0,0.06622210890054703,170.0,-0.015204583595106732,380.0,-0.0036894604563713074,150.0,0.007912348699972928,300.0,-0.010547764599323273,125.0,0.04992762422037319
280.0,0.056230224668979645,170.0,-0.015204583595106732,300.0,0.0027657728642225266,150.0,0.007912348699972928,340.0,-0.014598062261939049,125.0,0.04992762422037319
250.0,0.02785930037498474,170.0,-0.015204583595106732,280.0,0.022689126431941986,150.0,0.007912348699972928,300.0,-0.0425272099673748,125.0,0.04992762422037319
200.0,-0.030906911939382553,170.0,-0.015204583595106732,350.0,0.0002970173954963684,150.0,0.007912348699972928,300.0,-0.02189294435083866,140.0,0.04155400905565832
225.0,0.04905965179204941,170.0,-0.015204583595106732,170.0,-0.0009730812162160873,153.0,0.008102243581399632,250.0,-0.01140026468783617,140.0,0.04155400905565832
75.0,-0.0683717280626297,170.0,-0.015204583595106732,200.0,0.011522538959980011,155.0,0.008226413360500373,225.0,-0.023767661303281784,140.0,0.04155400905565832
300.0,0.03848884999752045,175.0,-0.011824222058534187,200.0,0.0010087229311466217,155.0,0.008226413360500373,200.0,-0.002365291118621826,140.0,0.04155400905565832
200.0,0.013379521667957306,175.0,-0.011824222058534187,300.0,0.012815140187740326,160.0,0.008829118822666853,100.0,0.11966676265001297,141.27,0.04098140474688171
400.0,0.01563446782529354,175.0,-0.011824222058534187,155.0,-0.022796519100666046,160.0,0.008829118822666853,200.0,-0.004591174423694611,150.0,0.036852887307855096
195.0,0.004506228491663933,175.0,-0.011824222058534187,275.0,-0.0012474656105041504,160.0,0.008829118822666853,200.0,0.03618308901786804,150.0,0.036852887307855096
250.0,0.03975152596831322,175.0,-0.011824222058534187,200.0,0.019926346838474274,160.0,0.008829118822666853,200.0,0.031761281192302704,150.0,0.036852887307855096
200.0,0.03238581493496895,175.0,-0.011824222058534187,350.0,-0.03882787376642227,160.0,0.008829118822666853,200.0,-0.017332181334495544,150.0,0.036852887307855096
250.0,0.04997329041361809,175.0,-0.011824222058534187,250.0,0.014519233256578445,160.0,0.008829118822666853,270.0,-0.02583373337984085,150.0,0.036852887307855096
275.0,0.032501209527254105,175.0,-0.011824222058534187,125.0,0.06318076699972153,160.0,0.008829118822666853,200.0,0.06661789119243622,150.0,0.036852887307855096
275.0,0.04738675057888031,179.0,-0.009111581944291848,190.0,0.012897670269012451,160.0,0.008829118822666853,370.0,-0.0021560583263635635,150.0,0.036852887307855096
160.0,-0.018713265657424927,185.0,-0.004930743836191438,190.0,0.0011672750115394592,160.0,0.008829118822666853,200.0,-0.030329853296279907,150.0,0.036852887307855096
225.0,0.020470835268497467,185.0,-0.004930743836191438,200.0,-0.006045341491699219,160.0,0.008829118822666853,300.0,-0.021180160343647003,150.0,0.036852887307855096
275.0,0.046555861830711365,185.0,-0.004930743836191438,200.0,0.010063737630844116,160.81,0.008861570867907887,200.0,0.0324762761592865,150.0,0.036852887307855096
345.0,0.02131933718919754,185.0,-0.004930743836191438,400.0,-0.0057114604860544205,160.81,0.008861570867907887,180.0,0.00828529242426157,150.0,0.036852887307855096
350.0,0.049417994916439056,187.5,-0.003162411970883312,70.0,0.0010306192561984062,169.0,0.009273977205640088,250.0,-0.023938708007335663,150.0,0.036852887307855096
350.0,-0.03681185841560364,187.5,-0.003162411970883312,175.0,0.009444095194339752,169.0,0.009273977205640088,180.0,0.03370765596628189,150.0,0.036852887307855096
195.0,0.025796029716730118,190.0,-0.0013907439957663856,195.0,-0.011506800539791584,170.0,0.009309105731038008,200.0,0.07932127267122269,150.0,0.036852887307855096
250.0,0.028505045920610428,190.0,-0.0013907439957663856,370.0,0.006931141018867493,170.0,0.009309105731038008,200.0,-0.005104035139083862,150.0,0.036852887307855096
153.0,-0.029506798833608627,190.0,-0.0013907439957663856,95.0,0.05384199693799019,170.0,0.009309105731038008,200.0,-0.014649376273155212,150.0,0.036852887307855096
250.0,0.06172584742307663,190.0,-0.0013907439957663856,200.0,0.009968426078557968,170.0,0.009309105731038008,465.0,-0.028760194778442383,150.0,0.036852887307855096
135.0,-0.0682835504412651,190.0,-0.0013907439957663856,225.0,-0.02261285111308098,170.0,0.009309105731038008,360.0,0.012459512799978256,150.0,0.036852887307855096
225.0,0.0068276673555374146,190.0,-0.0013907439957663856,240.0,0.019250698387622833,170.0,0.009309105731038008,200.0,-0.028595909476280212,150.0,0.036852887307855096
195.0,0.03664964437484741,190.0,-0.0013907439957663856,200.0,0.013389937579631805,170.0,0.009309105731038008,100.0,0.22298593819141388,150.0,0.036852887307855096
250.0,0.026771657168865204,190.0,-0.0013907439957663856,300.0,-0.04904647916555405,170.0,0.009309105731038008,140.0,0.08950774371623993,150.0,0.036852887307855096
250.0,0.0361906960606575,190.0,-0.0013907439957663856,225.0,0.01936671882867813,170.0,0.009309105731038008,105.0,0.1626899540424347,150.0,0.036852887307855096
200.0,-0.05234706401824951,195.0,0.002138066509591045,195.0,0.019330136477947235,170.0,0.009309105731038008,200.0,0.029289286583662033,150.0,0.036852887307855096
275.0,0.061887167394161224,195.0,0.002138066509591045,80.0,-0.004447869956493378,170.0,0.009309105731038008,200.0,0.07403109967708588,150.0,0.036852887307855096
380.0,0.07731008529663086,195.0,0.002138066509591045,175.0,0.0037224143743515015,170.0,0.009309105731038008,200.0,-0.028832092881202698,150.0,0.036852887307855096
350.0,0.051674410700798035,195.0,0.002138066509591045,200.0,-0.029957206919789314,175.0,0.009320803359295048,400.0,-0.03232918679714203,150.0,0.036852887307855096
250.0,0.00177089124917984,195.0,0.002138066509591045,160.0,0.005780026316642761,175.0,0.009320803359295048,350.0,-0.026639299467206,160.0,0.03166591282677295
330.0,0.06704512238502502,195.0,0.002138066509591045,400.0,-0.026552200317382812,175.0,0.009320803359295048,150.0,0.03271934390068054,160.0,0.03166591282677295
145.0,-0.03797568753361702,195.0,0.002138066509591045,180.0,-0.018220989033579826,175.0,0.009320803359295048,270.0,-0.0250852033495903,160.0,0.03166591282677295
275.0,0.05242512747645378,195.0,0.002138066509591045,400.0,0.002282809466123581,175.0,0.009320803359295048,200.0,0.0033395104110240936,166.2,0.029086185070165676
200.0,0.01044941134750843,195.0,0.002138066509591045,170.0,0.015226088464260101,175.0,0.009320803359295048,200.0,0.056569717824459076,170.0,0.027478297005388858
300.0,0.05452742800116539,195.0,0.002138066509591045,150.0,-0.021420517936348915,175.0,0.009320803359295048,200.0,0.015060759149491787,170.0,0.027478297005388858
175.0,-0.09289442747831345,195.0,0.002138066509591045,200.0,0.019957777112722397,175.0,0.009320803359295048,370.0,-0.025995496660470963,170.0,0.027478297005388858
200.0,-0.06503389775753021,195.0,0.002138066509591045,280.0,-0.05905643850564957,175.0,0.009320803359295048,105.0,-0.018991274759173393,170.0,0.027478297005388858
175.0,-0.0528373047709465,195.0,0.002138066509591045,200.0,0.0014536157250404358,175.0,0.009320803359295048,360.0,-0.02094832807779312,170.0,0.027478297005388858
250.0,-0.017628386616706848,200.0,0.005599840279923479,90.0,-0.049425628036260605,175.0,0.009320803359295048,50.0,0.11368133127689362,170.0,0.027478297005388858
80.0,-0.08334215730428696,200.0,0.005599840279923479,285.0,-0.004207693040370941,175.0,0.009320803359295048,100.0,0.17270785570144653,170.0,0.027478297005388858
250.0,0.06087937578558922,200.0,0.005599840279923479,175.0,-0.0016542039811611176,175.0,0.009320803359295048,200.0,-0.007957741618156433,170.0,0.027478297005388858
250.0,0.01920701563358307,200.0,0.005599840279923479,125.0,0.000410277396440506,175.0,0.009320803359295048,150.0,0.0290745347738266,170.0,0.027478297005388858
204.0,0.002254897728562355,200.0,0.005599840279923479,350.0,-0.028154591098427773,179.0,0.009338175133282358,100.0,0.06237691640853882,170.0,0.027478297005388858
300.0,0.07571287453174591,200.0,0.005599840279923479,225.0,0.029353074729442596,180.0,0.009337436682864806,195.0,0.0015181228518486023,170.0,0.027478297005388858
280.0,0.0916496217250824,200.0,0.005599840279923479,200.0,0.011190708726644516,180.0,0.009337436682864806,200.0,0.06549502909183502,170.0,0.027478297005388858
195.0,0.04472699761390686,200.0,0.005599840279923479,102.0,-0.01908862590789795,180.0,0.009337436682864806,180.0,0.004767781123518944,170.0,0.027478297005388858
160.0,0.008281730115413666,200.0,0.005599840279923479,105.0,-0.05860290676355362,180.0,0.009337436682864806,105.0,0.01008535549044609,170.0,0.027478297005388858
350.0,0.0477910041809082,200.0,0.005599840279923479,160.81,-0.003895442932844162,180.0,0.009337436682864806,350.0,-0.0321674682199955,175.0,0.025357986391134395
370.0,0.06954184174537659,200.0,0.005599840279923479,200.0,0.019191069528460503,180.0,0.009337436682864806,200.0,0.03648835048079491,175.0,0.025357986391134395
150.0,-0.10527393221855164,200.0,0.005599840279923479,150.0,0.06529748439788818,180.0,0.009337436682864806,90.0,0.10252015292644501,175.0,0.025357986391134395
200.0,-0.0065591540187597275,200.0,0.005599840279923479,150.0,0.04604136943817139,180.0,0.009337436682864806,89.1,0.08071756362915039,175.0,0.025357986391134395
339.19,0.02534608542919159,200.0,0.005599840279923479,190.0,0.011752128601074219,180.0,0.009337436682864806,475.0,-0.05029395967721939,175.0,0.025357986391134395
190.0,-0.006668028887361288,200.0,0.005599840279923479,160.0,0.05410145968198776,182.0,0.009320986221501536,225.0,0.016230173408985138,175.0,0.025357986391134395
150.0,-0.06696908921003342,200.0,0.005599840279923479,200.0,0.021052289754152298,182.0,0.009320986221501536,200.0,0.05483429133892059,175.0,0.025357986391134395
225.0,0.025129860267043114,200.0,0.005599840279923479,200.0,0.009776577353477478,182.0,0.009320986221501536,300.0,-0.0029730070382356644,175.0,0.025357986391134395
275.0,0.014809496700763702,200.0,0.005599840279923479,195.0,0.008659303188323975,182.0,0.009320986221501536,420.0,-0.02737869694828987,175.0,0.025357986391134395
340.0,0.03203068673610687,200.0,0.005599840279923479,182.0,-0.030879104509949684,185.0,0.009287986678464295,187.5,-0.02094864845275879,175.0,0.025357986391134395
100.0,-0.06153721362352371,200.0,0.005599840279923479,70.0,-0.008368562906980515,187.5,0.009240949841597132,300.0,-0.0038008205592632294,175.0,0.025357986391134395
250.0,-0.006442666053771973,200.0,0.005599840279923479,500.0,0.027499902993440628,187.5,0.009240949841597132,200.0,0.07016606628894806,175.0,0.025357986391134395
250.0,0.062086693942546844,200.0,0.005599840279923479,275.0,-0.02201678603887558,187.5,0.009240949841597132,495.0,-0.024749916046857834,175.0,0.025357986391134395
300.0,0.015338767319917679,200.0,0.005599840279923479,250.0,0.00835380144417286,190.0,0.00919277810893352,200.0,-0.010600633919239044,175.0,0.025357986391134395
160.0,-0.0014024749398231506,200.0,0.005599840279923479,350.0,0.005654588341712952,190.0,0.00919277810893352,200.0,0.0301221814006567,175.0,0.025357986391134395
185.0,0.017544420436024666,200.0,0.005599840279923479,150.0,-0.01889711618423462,190.0,0.00919277810893352,200.0,0.03555800020694733,180.0,0.02325057938269689
