reflectivity (%),shap,lowess reflectivity (%),lowess shap
70.7936,0.01656678505241871,56.848,-0.0020880899594884856
69.1175,0.005874657537788153,56.848,-0.0020880899594884856
56.9809,0.017426807433366776,56.848,-0.0020880899594884856
67.0729,-0.005550424102693796,56.848,-0.0020880899594884856
69.1175,0.009110599756240845,56.848,-0.0020880899594884856
69.1175,0.0033918125554919243,56.848,-0.0020880899594884856
89.6694,-0.01248918380588293,56.848,-0.0020880899594884856
73.7759,-0.02940651960670948,56.848,-0.0020880899594884856
69.1175,-0.0009143739007413387,56.848,-0.0020880899594884856
56.946,-0.015827525407075882,56.848,-0.0020880899594884856
63.8989,-0.003010973334312439,56.848,-0.0020880899594884856
56.848,0.011431511491537094,56.848,-0.0020880899594884856
64.2252,0.012551624327898026,56.848,-0.0020880899594884856
67.0729,-0.0017994455993175507,56.848,-0.0020880899594884856
65.3334,0.0088295703753829,56.848,-0.0020880899594884856
65.7712,-0.008165955543518066,56.848,-0.0020880899594884856
65.5535,-0.0019445400685071945,56.848,-0.0020880899594884856
73.8121,-0.009487268514931202,56.848,-0.0020880899594884856
64.2252,0.02099597454071045,56.848,-0.0020880899594884856
69.1175,0.008611822500824928,56.848,-0.0020880899594884856
90.0,-0.055914949625730515,56.848,-0.0020880899594884856
63.0738,-0.030320070683956146,56.848,-0.0020880899594884856
65.3334,0.006978620775043964,56.848,-0.0020880899594884856
71.3351,-0.004182322882115841,56.848,-0.0020880899594884856
73.7759,0.002263734582811594,56.848,-0.0020880899594884856
65.5535,0.0005061710253357887,56.848,-0.0020880899594884856
65.3334,0.003630680963397026,56.848,-0.0020880899594884856
69.1175,0.008142469450831413,56.848,-0.0020880899594884856
56.848,-0.014891725033521652,56.848,-0.0020880899594884856
65.3334,0.0008803373202681541,56.848,-0.0020880899594884856
73.7759,-0.0009495709091424942,56.848,-0.0020880899594884856
65.3334,0.01829969510436058,56.848,-0.0020880899594884856
56.848,0.02513856813311577,56.848,-0.0020880899594884856
65.3334,-0.006715057417750359,56.848,-0.0020880899594884856
56.848,-0.0075236959382891655,56.848,-0.0020880899594884856
56.9809,-0.0056740520521998405,56.848,-0.0020880899594884856
62.0,0.0048571135848760605,56.848,-0.0020880899594884856
63.8989,0.0023242495954036713,56.848,-0.0020880899594884856
65.3334,0.010121931321918964,56.848,-0.0020880899594884856
65.5535,0.014079954475164413,56.848,-0.0020880899594884856
