thermal conductivity (W/mK),shap,lowess thermal conductivity (W/mK),lowess shap
221.087264,-0.04003041982650757,5.3,0.04339964178653553
9.8,0.04346102848649025,5.3,0.04339964178653553
5.3,0.0637974962592125,5.3,0.04339964178653553
146.0,-0.08498527109622955,5.3,0.04339964178653553
9.8,0.05156295746564865,5.3,0.04339964178653553
9.8,0.044158097356557846,5.3,0.04339964178653553
320.0,-0.0607699416577816,5.3,0.04339964178653553
72.7,-0.06821522116661072,5.3,0.04339964178653553
9.8,0.03276729956269264,5.3,0.04339964178653553
7.1,0.023188544437289238,5.3,0.04339964178653553
42.5,-0.007196264341473579,5.3,0.04339964178653553
6.7,0.05592883750796318,5.3,0.04339964178653553
52.0,-0.00022049038670957088,5.3,0.04339964178653553
146.0,-0.07857929915189743,5.3,0.04339964178653553
21.4,0.006900148466229439,5.3,0.04339964178653553
204.960688,-0.09000936895608902,5.3,0.04339964178653553
11.6,0.022402925416827202,5.3,0.04339964178653553
51.3,0.0005885323043912649,5.3,0.04339964178653553
52.0,0.007491506636142731,5.3,0.04339964178653553
9.8,0.05256521701812744,5.3,0.04339964178653553
385.0,-0.0851769745349884,5.3,0.04339964178653553
13.8,0.025625724345445633,5.3,0.04339964178653553
21.4,0.003609423991292715,5.3,0.04339964178653553
151.0,-0.05741249397397041,5.3,0.04339964178653553
72.7,-0.01587502285838127,5.3,0.04339964178653553
11.6,0.04100419953465462,6.7,0.041150251571107875
21.4,-0.002938979770988226,6.7,0.041150251571107875
9.8,0.0474717952311039,6.7,0.041150251571107875
6.7,0.03170144557952881,6.7,0.041150251571107875
21.4,-0.012732276692986488,6.7,0.041150251571107875
72.7,-0.02135404944419861,6.7,0.041150251571107875
21.4,0.0161366555839777,6.7,0.041150251571107875
6.7,0.0827903226017952,6.7,0.041150251571107875
21.4,-0.020494408905506134,6.7,0.041150251571107875
6.7,0.030832163989543915,6.7,0.041150251571107875
5.3,0.03364773094654083,6.7,0.041150251571107875
170.0,-0.06366302073001862,6.7,0.041150251571107875
42.5,-0.005875439383089542,6.7,0.041150251571107875
21.4,0.005339222960174084,6.7,0.041150251571107875
11.6,0.04613246023654938,6.7,0.041150251571107875
21.4,-0.00626059714704752,6.7,0.041150251571107875
9.8,0.04840186983346939,6.7,0.041150251571107875
21.4,0.000703851692378521,6.7,0.041150251571107875
72.7,-0.02115386351943016,6.7,0.041150251571107875
21.4,-0.02126806229352951,6.7,0.041150251571107875
11.4,0.04616933315992355,6.7,0.041150251571107875
9.4,0.0851980522274971,6.7,0.041150251571107875
7.2,0.0385463573038578,6.7,0.041150251571107875
51.3,-0.03692035377025604,6.7,0.041150251571107875
5.3,0.03133895620703697,6.7,0.041150251571107875
72.7,-0.012476533651351929,6.7,0.041150251571107875
