melting point (C),shap,lowess melting point (C),lowess shap
632.0,0.02076331339776516,441.0,-0.009474121039370195
1339.0,0.012721410021185875,441.0,-0.009474121039370195
1660.0,0.01955118216574192,441.0,-0.009474121039370195
570.0,-0.007042533718049526,441.0,-0.009474121039370195
1339.0,0.01614326797425747,441.0,-0.009474121039370195
1339.0,0.01680566743016243,441.0,-0.009474121039370195
1071.0,0.01984359323978424,441.0,-0.009474121039370195
455.0,-0.21059496700763702,441.0,-0.009474121039370195
1339.0,0.0091130705550313,441.0,-0.009474121039370195
1700.0,-0.002528100274503231,441.0,-0.009474121039370195
1435.97,0.021236957982182503,441.0,-0.009474121039370195
1684.0,0.017520274966955185,441.0,-0.009474121039370195
1480.57,0.027706481516361237,441.0,-0.009474121039370195
570.0,-0.00608622282743454,441.0,-0.009474121039370195
1375.0,0.020150022581219673,441.0,-0.009474121039370195
577.0,-0.00726965581998229,441.0,-0.009474121039370195
1260.0,0.0062348246574401855,441.0,-0.009474121039370195
640.0,0.008237650617957115,441.0,-0.009474121039370195
1480.57,0.02703220024704933,441.0,-0.009474121039370195
1339.0,0.01865864172577858,441.0,-0.009474121039370195
1083.2,0.01587461307644844,441.0,-0.009474121039370195
1417.44,0.009692816063761711,455.0,-0.008909731484450676
1375.0,0.01725011318922043,455.0,-0.008909731484450676
502.0,-0.1600322425365448,455.0,-0.008909731484450676
455.0,-0.14550834894180298,455.0,-0.008909731484450676
1260.0,0.008594737388193607,455.0,-0.008909731484450676
1375.0,0.01394176110625267,455.0,-0.008909731484450676
1339.0,0.017757369205355644,455.0,-0.008909731484450676
1684.0,-0.0007710782811045647,455.0,-0.008909731484450676
1375.0,0.01027960330247879,455.0,-0.008909731484450676
455.0,-0.15834563970565796,455.0,-0.008909731484450676
1375.0,0.02447555586695671,455.0,-0.008909731484450676
1684.0,0.01804722473025322,455.0,-0.008909731484450676
1375.0,0.008876655250787735,455.0,-0.008909731484450676
1684.0,-0.0011566346511244774,455.0,-0.008909731484450676
1660.0,0.0033741474617272615,455.0,-0.008909731484450676
3410.0,0.007291843183338642,455.0,-0.008909731484450676
1435.97,0.01995369791984558,455.0,-0.008909731484450676
1375.0,0.019514944404363632,455.0,-0.008909731484450676
1260.0,0.013745435513556004,455.0,-0.008909731484450676
1375.0,0.014189505949616432,455.0,-0.008909731484450676
1339.0,0.01620146818459034,455.0,-0.008909731484450676
