reflectivity (%),thermal conductivity (W/mK),specific heat capacity (J/gK),density(g/cm3),melting point (C),laser power (watt),scan speed (mm/s),layer thickness (mm),hatch spacing (mm),energy density (J/mm3),relative density (%)
65.827,17.9,0.46,7.8,1404,275,1521.73913,0.03,0.11,54.76,96.20
65.827,17.9,0.46,7.8,1404,275,1309.52381,0.03,0.09,77.78,99.36
65.827,17.9,0.46,7.8,1404,275,1304.347826,0.03,0.07,100.40,98.04
65.827,17.9,0.46,7.8,1404,275,1071.428571,0.03,0.11,77.78,99.17
65.827,17.9,0.46,7.8,1404,275,1014.492754,0.03,0.09,100.40,99.62
65.827,17.9,0.46,7.8,1404,275,827.0676692,0.03,0.11,100.76,99.52
65.827,17.9,0.46,7.8,1404,200,1750,0.03,0.07,54.42,98.47
65.827,17.9,0.46,7.8,1404,200,1341.463415,0.03,0.09,55.22,97.98
65.827,17.9,0.46,7.8,1404,200,1216.216216,0.03,0.07,78.31,95.88
65.827,17.9,0.46,7.8,1404,200,1097.560976,0.03,0.11,55.22,94.10
65.827,17.9,0.46,7.8,1404,200,945.9459459,0.03,0.09,78.31,99.57
65.827,17.9,0.46,7.8,1404,200,940.1709402,0.03,0.07,101.30,99.37
65.827,17.9,0.46,7.8,1404,200,777.7777778,0.03,0.11,77.92,99.13
65.827,17.9,0.46,7.8,1404,200,774.6478873,0.03,0.11,78.24,99.69
65.827,17.9,0.46,7.8,1404,200,731.7073171,0.03,0.09,101.23,98.75
65.827,17.9,0.46,7.8,1404,200,729.1666667,0.03,0.09,101.59,99.59
65.827,17.9,0.46,7.8,1404,200,598.2905983,0.03,0.11,101.30,99.69
73.8121,51.3,1,1.84,640,225,700,0.05,0.09,71.43,97.56
73.8121,51.3,1,1.84,640,225,600,0.05,0.09,83.33,96.28
73.8121,51.3,1,1.84,640,225,500,0.05,0.09,100.00,96.28
73.8121,51.3,1,1.84,640,200,700,0.05,0.09,63.49,98.77
73.8121,51.3,1,1.84,640,200,600,0.05,0.09,74.07,98.45
73.8121,51.3,1,1.84,640,200,500,0.05,0.09,88.89,97.13
73.8121,51.3,1,1.84,640,175,700,0.05,0.09,55.56,99.48
73.8121,51.3,1,1.84,640,175,600,0.05,0.09,64.81,99.08
73.8121,51.3,1,1.84,640,175,500,0.05,0.09,77.78,98.14
73.8121,51.3,1,1.84,640,150,700,0.05,0.09,47.62,99.53
73.8121,51.3,1,1.84,640,150,600,0.05,0.09,55.56,99.43
73.8121,51.3,1,1.84,640,150,500,0.05,0.09,66.67,98.86
74,160,1.02,1.738,650,70,1250,0.03,0.03,62.22,88.21
74,160,1.02,1.738,650,70,1000,0.03,0.03,77.78,89.60
74,160,1.02,1.738,650,70,750,0.03,0.03,103.70,93.10
74,160,1.02,1.738,650,70,500,0.03,0.03,155.56,97.51
74.1166,120,1.06,1.803,441,200,900,0.02,0.08,138.89,82.26
74.1166,120,1.06,1.803,441,200,700,0.02,0.08,178.57,88.00
74.1166,120,1.06,1.803,441,200,500,0.02,0.08,250.00,93.21
74.1166,120,1.06,1.803,441,200,300,0.02,0.08,416.67,94.10
74.1166,120,1.06,1.803,441,120,800,0.01,0.07,214.29,92.24
74.1166,120,1.06,1.803,441,120,700,0.01,0.07,244.90,93.92
74.1166,120,1.06,1.803,441,120,600,0.01,0.07,285.71,94.93
74.1166,120,1.06,1.803,441,110,800,0.01,0.07,196.43,91.35
74.1166,120,1.06,1.803,441,110,700,0.01,0.07,224.49,92.90
74.1166,120,1.06,1.803,441,110,600,0.01,0.07,261.90,91.43
74.1166,120,1.06,1.803,441,100,800,0.01,0.07,178.57,92.39
74.1166,120,1.06,1.803,441,100,700,0.01,0.07,204.08,91.83
74.1166,120,1.06,1.803,441,100,600,0.01,0.07,238.10,91.58
74.1166,120,1.06,1.803,441,90,800,0.01,0.07,160.71,88.28
74.1166,120,1.06,1.803,441,90,700,0.01,0.07,183.67,91.23
74.1166,120,1.06,1.803,441,90,600,0.01,0.07,214.29,92.90
74.1166,120,1.06,1.803,441,80,800,0.01,0.07,142.86,84.89
74.1166,120,1.06,1.803,441,80,700,0.01,0.07,163.27,86.15
74.1166,120,1.06,1.803,441,80,600,0.01,0.07,190.48,86.47
74.1166,120,1.06,1.803,441,70,800,0.01,0.07,125.00,82.43
74.1166,120,1.06,1.803,441,70,700,0.01,0.07,142.86,81.29
74.1166,120,1.06,1.803,441,70,600,0.01,0.07,166.67,83.29
74.1166,120,1.06,1.803,441,60,800,0.01,0.07,107.14,79.75
74.1166,120,1.06,1.803,441,60,700,0.01,0.07,122.45,78.52
74.1166,120,1.06,1.803,441,60,600,0.01,0.07,142.86,80.46
74.1166,120,1.06,1.803,441,50,800,0.01,0.07,89.29,72.57
74.1166,120,1.06,1.803,441,50,700,0.01,0.07,102.04,80.00
74.1166,120,1.06,1.803,441,50,600,0.01,0.07,119.05,83.04
74.1166,120,1.06,1.803,441,40,700,0.01,0.07,81.63,70.85
74.1166,120,1.06,1.803,441,40,600,0.01,0.07,95.24,74.70
62,170,0.134,19.3,3410,200,145,0.05,0.115,239.88,94.57
62,170,0.134,19.3,3410,200,145,0.05,0.135,204.34,95.53
62,170,0.134,19.3,3410,200,145,0.05,0.155,177.98,93.92
62,170,0.134,19.3,3410,200,100,0.05,0.115,347.83,97.73
62,170,0.134,19.3,3410,200,100,0.05,0.135,296.30,95.77
62,170,0.134,19.3,3410,200,100,0.05,0.155,258.06,96.68
65.3334,21.4,0.5,8,1375,300,700,0.03,0.08,178.57,98.50
65.3334,21.4,0.5,8,1375,300,800,0.03,0.08,156.25,98.50
65.3334,21.4,0.5,8,1375,300,1000,0.03,0.08,125.00,98.50
65.3334,21.4,0.5,8,1375,300,1200,0.03,0.08,104.17,94.50
65.3334,21.4,0.5,8,1375,380,2000,0.05,0.035,108.57,99.22
65.3334,21.4,0.5,8,1375,380,1750,0.05,0.04,108.57,99.19
65.3334,21.4,0.5,8,1375,380,1050,0.05,0.07,103.40,99.20
65.3334,21.4,0.5,8,1375,380,3000,0.05,0.025,101.33,99.23
65.3334,21.4,0.5,8,1375,380,2500,0.05,0.03,101.33,99.22
65.3334,21.4,0.5,8,1375,380,1500,0.05,0.05,101.33,99.18
65.3334,21.4,0.5,8,1375,380,1250,0.05,0.06,101.33,99.20
65.3334,21.4,0.5,8,1375,380,750,0.05,0.1,101.33,99.14
65.3334,21.4,0.5,8,1375,380,625,0.05,0.12,101.33,99.12
65.3334,21.4,0.5,8,1375,380,950,0.05,0.08,100.00,99.18
65.3334,21.4,0.5,8,1375,380,850,0.05,0.09,99.35,99.18
65.3334,21.4,0.5,8,1375,380,700,0.05,0.11,98.70,99.15
73.7759,72.7,1.047,1.81,455,50,500,0.03,0.03,111.11,90.22
73.7759,72.7,1.047,1.81,455,50,400,0.03,0.03,138.89,91.79
73.7759,72.7,1.047,1.81,455,50,300,0.03,0.03,185.19,94.01
73.7759,72.7,1.047,1.81,455,50,200,0.03,0.03,277.78,98.12
73.7759,72.7,1.047,1.81,455,200,1000,0.04,0.07,71.43,91.61
73.7759,72.7,1.047,1.81,455,200,1000,0.04,0.09,55.56,88.75
73.7759,72.7,1.047,1.81,455,200,1000,0.04,0.11,45.45,76.40
73.7759,72.7,1.047,1.81,455,200,1000,0.04,0.13,38.46,73.18
73.7759,72.7,1.047,1.81,455,200,833.3333333,0.04,0.07,85.71,97.16
73.7759,72.7,1.047,1.81,455,200,833.3333333,0.04,0.09,66.67,95.67
73.7759,72.7,1.047,1.81,455,200,833.3333333,0.04,0.11,54.55,84.19
73.7759,72.7,1.047,1.81,455,200,833.3333333,0.04,0.13,46.15,77.12
73.7759,72.7,1.047,1.81,455,200,666.6666667,0.04,0.07,107.14,98.84
73.7759,72.7,1.047,1.81,455,200,666.6666667,0.04,0.09,83.33,98.66
73.7759,72.7,1.047,1.81,455,200,666.6666667,0.04,0.11,68.18,93.42
73.7759,72.7,1.047,1.81,455,200,666.6666667,0.04,0.13,57.69,89.03
73.7759,72.7,1.047,1.81,455,200,500,0.04,0.07,142.86,99.07
73.7759,72.7,1.047,1.81,455,200,500,0.04,0.09,111.11,99.13
73.7759,72.7,1.047,1.81,455,200,500,0.04,0.11,90.91,98.83
73.7759,72.7,1.047,1.81,455,200,500,0.04,0.13,76.92,98.44
73.7759,72.7,1.047,1.81,455,200,333.3333333,0.04,0.07,214.29,0.00
73.7759,72.7,1.047,1.81,455,200,333.3333333,0.04,0.09,166.67,99.54
73.7759,72.7,1.047,1.81,455,200,333.3333333,0.04,0.11,136.36,99.11
73.7759,72.7,1.047,1.81,455,200,333.3333333,0.04,0.13,115.38,98.73
73.7759,72.7,1.047,1.81,455,200,166.6666667,0.04,0.07,428.57,0.00
73.7759,72.7,1.047,1.81,455,200,166.6666667,0.04,0.09,333.33,0.00
73.7759,72.7,1.047,1.81,455,200,166.6666667,0.04,0.11,272.73,0.00
73.7759,72.7,1.047,1.81,455,200,166.6666667,0.04,0.13,230.77,0.00
65.5535,11.6,0.461,8.23,1260,95,800,0.03,0.09,43.98,95.17
65.5535,11.6,0.461,8.23,1260,95,800,0.03,0.075,52.78,96.87
65.5535,11.6,0.461,8.23,1260,95,800,0.03,0.06,65.97,97.82
65.5535,11.6,0.461,8.23,1260,95,700,0.03,0.075,60.32,97.33
65.5535,11.6,0.461,8.23,1260,95,700,0.03,0.06,75.40,98.57
65.5535,11.6,0.461,8.23,1260,95,600,0.03,0.09,58.64,97.25
65.5535,11.6,0.461,8.23,1260,95,600,0.03,0.075,70.37,98.23
65.5535,11.6,0.461,8.23,1260,95,600,0.03,0.06,87.96,98.77
65.5535,11.6,0.461,8.23,1260,95,500,0.03,0.075,84.44,99.32
65.5535,11.6,0.461,8.23,1260,95,500,0.03,0.06,105.56,99.01
65.5535,11.6,0.461,8.23,1260,95,400,0.03,0.09,87.96,98.59
65.5535,11.6,0.461,8.23,1260,95,400,0.03,0.075,105.56,98.61
65.5535,11.6,0.461,8.23,1260,95,400,0.03,0.06,131.94,98.51
65.5535,11.6,0.461,8.23,1260,95,200,0.03,0.09,175.93,99.41
65.5535,11.6,0.461,8.23,1260,95,200,0.03,0.075,211.11,98.05
65.5535,11.6,0.461,8.23,1260,95,200,0.03,0.06,263.89,97.64
89.6694,320,0.38,8.9,1071,370,500,0.02,0.08,462.50,99.99
89.6694,320,0.38,8.9,1071,370,500,0.02,0.11,336.36,99.54
89.6694,320,0.38,8.9,1071,370,400,0.02,0.08,578.13,99.97
89.6694,320,0.38,8.9,1071,370,400,0.02,0.11,420.45,99.68
89.6694,320,0.38,8.9,1071,370,300,0.02,0.08,770.83,99.98
89.6694,320,0.38,8.9,1071,370,300,0.02,0.11,560.61,99.75
89.6694,320,0.38,8.9,1071,370,200,0.02,0.08,1156.25,99.97
89.6694,320,0.38,8.9,1071,370,200,0.02,0.11,840.91,99.74
89.6694,320,0.38,8.9,1071,370,100,0.02,0.11,1681.82,99.62
89.6694,320,0.38,8.9,1071,350,500,0.02,0.08,437.50,99.98
89.6694,320,0.38,8.9,1071,350,500,0.02,0.11,318.18,99.51
89.6694,320,0.38,8.9,1071,350,400,0.02,0.08,546.88,99.97
89.6694,320,0.38,8.9,1071,350,400,0.02,0.11,397.73,99.63
89.6694,320,0.38,8.9,1071,350,300,0.02,0.08,729.17,99.98
89.6694,320,0.38,8.9,1071,350,300,0.02,0.11,530.30,99.59
89.6694,320,0.38,8.9,1071,350,200,0.02,0.08,1093.75,99.95
89.6694,320,0.38,8.9,1071,350,200,0.02,0.11,795.45,99.71
89.6694,320,0.38,8.9,1071,350,100,0.02,0.11,1590.91,99.53
89.6694,320,0.38,8.9,1071,330,500,0.02,0.08,412.50,99.97
89.6694,320,0.38,8.9,1071,330,500,0.02,0.11,300.00,99.49
89.6694,320,0.38,8.9,1071,330,400,0.02,0.08,515.63,99.92
89.6694,320,0.38,8.9,1071,330,400,0.02,0.11,375.00,99.40
89.6694,320,0.38,8.9,1071,330,300,0.02,0.08,687.50,99.93
89.6694,320,0.38,8.9,1071,330,300,0.02,0.11,500.00,99.48
89.6694,320,0.38,8.9,1071,330,200,0.02,0.08,1031.25,99.93
89.6694,320,0.38,8.9,1071,330,200,0.02,0.11,750.00,99.52
89.6694,320,0.38,8.9,1071,330,100,0.02,0.11,1500.00,99.50
89.6694,320,0.38,8.9,1071,300,500,0.02,0.08,375.00,99.98
89.6694,320,0.38,8.9,1071,300,500,0.02,0.11,272.73,99.22
89.6694,320,0.38,8.9,1071,300,400,0.02,0.08,468.75,99.97
89.6694,320,0.38,8.9,1071,300,400,0.02,0.11,340.91,99.09
89.6694,320,0.38,8.9,1071,300,300,0.02,0.08,625.00,99.96
89.6694,320,0.38,8.9,1071,300,300,0.02,0.11,454.55,99.36
89.6694,320,0.38,8.9,1071,300,200,0.02,0.08,937.50,99.93
89.6694,320,0.38,8.9,1071,300,200,0.02,0.11,681.82,99.44
89.6694,320,0.38,8.9,1071,300,100,0.02,0.11,1363.64,99.51
65.3334,21.4,0.5,8,1375,100,120,0.05,0.111,150.15,97.14
65.3334,21.4,0.5,8,1375,100,111,0.05,0.12,150.15,99.45
65.3334,21.4,0.5,8,1375,100,175,0.05,0.114,100.25,93.90
65.3334,21.4,0.5,8,1375,100,167,0.05,0.12,99.80,96.20
65.3334,21.4,0.5,8,1375,100,250,0.05,0.114,70.18,95.40
65.3334,21.4,0.5,8,1375,100,239,0.05,0.12,69.74,96.80
65.4217,13,0.45,8.4,1290,360,500,0.05,0.175,82.29,99.90
69.1175,9.8,0.41,8.44,1339,300,600,0.06,0.14,59.52,99.29
69.1175,9.8,0.41,8.44,1339,250,600,0.06,0.14,49.60,98.99
69.1175,9.8,0.41,8.44,1339,200,600,0.06,0.14,39.68,98.94
69.1175,9.8,0.41,8.44,1339,150,600,0.06,0.14,29.76,98.86
68.6840316,11.4,0.435,8.19,1260,200,666.6666667,0.06,0.14,35.71,98.08
68.6840316,11.4,0.435,8.19,1260,200,600,0.06,0.14,39.68,99.49
68.6840316,11.4,0.435,8.19,1260,200,545.4545455,0.06,0.14,43.65,99.84
68.6840316,11.4,0.435,8.19,1260,200,500,0.06,0.14,47.62,99.65
68.6840316,11.4,0.435,8.19,1260,190,666.6666667,0.06,0.14,33.93,97.14
68.6840316,11.4,0.435,8.19,1260,190,600,0.06,0.14,37.70,98.88
68.6840316,11.4,0.435,8.19,1260,190,545.4545455,0.06,0.14,41.47,99.43
68.6840316,11.4,0.435,8.19,1260,190,500,0.06,0.14,45.24,99.66
68.6840316,11.4,0.435,8.19,1260,180,666.6666667,0.06,0.14,32.14,96.86
68.6840316,11.4,0.435,8.19,1260,180,600,0.06,0.14,35.71,98.14
68.6840316,11.4,0.435,8.19,1260,180,545.4545455,0.06,0.14,39.29,99.22
68.6840316,11.4,0.435,8.19,1260,180,500,0.06,0.14,42.86,99.77
68.6840316,11.4,0.435,8.19,1260,170,666.6666667,0.06,0.14,30.36,94.67
68.6840316,11.4,0.435,8.19,1260,170,600,0.06,0.14,33.73,94.74
68.6840316,11.4,0.435,8.19,1260,170,545.4545455,0.06,0.14,37.10,97.92
68.6840316,11.4,0.435,8.19,1260,170,500,0.06,0.14,40.48,98.91
56.946,7.1,0.46,4.54,1700,95,1200,0.03,0.077,34.27,95.76
56.946,7.1,0.46,4.54,1700,95,1100,0.03,0.077,37.39,98.85
56.946,7.1,0.46,4.54,1700,95,1050,0.03,0.077,39.17,98.35
56.946,7.1,0.46,4.54,1700,95,1000,0.03,0.077,41.13,98.65
56.946,7.1,0.46,4.54,1700,95,950,0.03,0.077,43.29,99.46
56.946,7.1,0.46,4.54,1700,95,900,0.03,0.077,45.70,99.12
56.946,7.1,0.46,4.54,1700,95,850,0.03,0.077,48.38,99.03
56.946,7.1,0.46,4.54,1700,95,800,0.03,0.077,51.41,99.14
56.946,7.1,0.46,4.54,1700,95,700,0.03,0.077,58.75,99.12
56.946,7.1,0.46,4.54,1700,95,600,0.03,0.077,68.54,98.74
65.5535,11.6,0.461,8.23,1260,200,1250,0.04,0.08,50.00,98.20
65.5535,11.6,0.461,8.23,1260,200,1250,0.04,0.1,40.00,94.58
65.5535,11.6,0.461,8.23,1260,200,1100,0.04,0.08,56.82,97.37
65.5535,11.6,0.461,8.23,1260,200,1100,0.04,0.1,45.45,97.32
65.5535,11.6,0.461,8.23,1260,200,950,0.04,0.08,65.79,99.30
65.5535,11.6,0.461,8.23,1260,200,950,0.04,0.1,52.63,99.15
65.5535,11.6,0.461,8.23,1260,200,800,0.04,0.08,78.13,99.24
65.5535,11.6,0.461,8.23,1260,200,800,0.04,0.1,62.50,99.39
65.5535,11.6,0.461,8.23,1260,200,700,0.04,0.08,89.29,98.81
65.5535,11.6,0.461,8.23,1260,200,700,0.04,0.1,71.43,99.33
65.5535,11.6,0.461,8.23,1260,200,600,0.04,0.08,104.17,99.39
65.5535,11.6,0.461,8.23,1260,200,600,0.04,0.1,83.33,99.33
65.5535,11.6,0.461,8.23,1260,200,500,0.04,0.08,125.00,99.74
65.5535,11.6,0.461,8.23,1260,200,500,0.04,0.1,100.00,99.43
65.5535,11.6,0.461,8.23,1260,200,350,0.04,0.08,178.57,98.13
65.5535,11.6,0.461,8.23,1260,200,350,0.04,0.1,142.86,99.59
65.5535,11.6,0.461,8.23,1260,200,200,0.04,0.08,312.50,96.84
65.5535,11.6,0.461,8.23,1260,200,200,0.04,0.1,250.00,99.01
67.0729,146,0.88414745,2.67,570,300,500,0.03,0.05,400.00,99.25
67.0729,146,0.88414745,2.67,570,270,500,0.03,0.05,360.00,99.58
67.0729,146,0.88414745,2.67,570,230,500,0.03,0.05,306.67,99.70
67.0729,146,0.88414745,2.67,570,200,800,0.03,0.05,166.67,98.98
67.0729,146,0.88414745,2.67,570,200,700,0.03,0.05,190.48,99.14
67.0729,146,0.88414745,2.67,570,200,600,0.03,0.05,222.22,99.38
67.0729,146,0.88414745,2.67,570,200,500,0.03,0.05,266.67,99.92
67.0729,146,0.88414745,2.67,570,200,500,0.03,0.03,444.44,99.33
67.0729,146,0.88414745,2.67,570,200,500,0.03,0.04,333.33,99.44
67.0729,146,0.88414745,2.67,570,200,500,0.03,0.06,222.22,98.78
67.0729,146,0.88414745,2.67,570,200,500,0.03,0.07,190.48,97.51
67.0729,146,0.88414745,2.67,570,200,400,0.03,0.05,333.33,99.65
67.0729,146,0.88414745,2.67,570,200,300,0.03,0.05,444.44,99.69
67.0729,146,0.88414745,2.67,570,180,500,0.03,0.05,240.00,99.80
89.6694,320,0.38,8.9,1071,480,700,0.03,0.11,207.79,98.90
89.6694,320,0.38,8.9,1071,480,700,0.03,0.1,228.57,99.40
89.6694,320,0.38,8.9,1071,480,500,0.03,0.12,266.67,99.25
89.6694,320,0.38,8.9,1071,480,500,0.03,0.11,290.91,99.41
89.6694,320,0.38,8.9,1071,480,500,0.03,0.1,320.00,99.17
89.6694,320,0.38,8.9,1071,480,300,0.03,0.12,444.44,99.09
89.6694,320,0.38,8.9,1071,480,300,0.03,0.11,484.85,99.26
89.6694,320,0.38,8.9,1071,480,300,0.03,0.1,533.33,99.36
89.6694,320,0.38,8.9,1071,480,200,0.03,0.12,666.67,99.35
89.6694,320,0.38,8.9,1071,420,700,0.03,0.12,166.67,99.12
89.6694,320,0.38,8.9,1071,420,700,0.03,0.11,181.82,99.13
89.6694,320,0.38,8.9,1071,420,700,0.03,0.1,200.00,99.17
89.6694,320,0.38,8.9,1071,420,500,0.03,0.12,233.33,98.95
89.6694,320,0.38,8.9,1071,420,500,0.03,0.11,254.55,99.02
89.6694,320,0.38,8.9,1071,420,500,0.03,0.1,280.00,99.01
89.6694,320,0.38,8.9,1071,420,300,0.03,0.12,388.89,99.14
89.6694,320,0.38,8.9,1071,420,300,0.03,0.11,424.24,99.18
89.6694,320,0.38,8.9,1071,420,300,0.03,0.1,466.67,99.19
89.6694,320,0.38,8.9,1071,420,200,0.03,0.12,583.33,99.28
89.6694,320,0.38,8.9,1071,360,700,0.03,0.12,142.86,98.69
89.6694,320,0.38,8.9,1071,360,700,0.03,0.11,155.84,98.48
89.6694,320,0.38,8.9,1071,360,700,0.03,0.1,171.43,98.47
89.6694,320,0.38,8.9,1071,360,500,0.03,0.12,200.00,98.32
89.6694,320,0.38,8.9,1071,360,500,0.03,0.11,218.18,98.83
89.6694,320,0.38,8.9,1071,360,500,0.03,0.1,240.00,98.79
89.6694,320,0.38,8.9,1071,360,300,0.03,0.11,363.64,99.10
89.6694,320,0.38,8.9,1071,360,300,0.03,0.1,400.00,99.14
89.6694,320,0.38,8.9,1071,360,200,0.03,0.11,545.45,99.07
69.1175,9.8,0.41,8.44,1339,140,345,0.025,0.06,270.53,97.58
69.1175,9.8,0.41,8.44,1339,120,590,0.025,0.09,90.40,99.37
69.1175,9.8,0.41,8.44,1339,100,222.2,0.025,0.125,144.01,98.15
69.1175,9.8,0.41,8.44,1339,75,1040,0.025,0.06,48.08,96.66
69.1175,9.8,0.41,8.44,1339,75,1040,0.025,0.04,72.12,99.42
69.1175,9.8,0.41,8.44,1339,75,780,0.025,0.06,64.10,99.39
69.1175,9.8,0.41,8.44,1339,50,1040,0.025,0.04,48.08,93.61
69.1175,9.8,0.41,8.44,1339,50,520,0.025,0.06,64.10,96.50
69.1175,9.8,0.41,8.44,1339,50,260,0.025,0.12,64.10,97.69
65.5535,11.6,0.461,8.23,1260,165,1000,0.03,0.12,45.83,99.84
65.5535,11.6,0.461,8.23,1260,155,1200,0.03,0.11,39.14,97.72
65.5535,11.6,0.461,8.23,1260,155,1200,0.03,0.13,33.12,95.41
65.5535,11.6,0.461,8.23,1260,155,800,0.03,0.11,58.71,98.29
65.5535,11.6,0.461,8.23,1260,155,800,0.03,0.13,49.68,97.25
65.5535,11.6,0.461,8.23,1260,145,1337,0.03,0.12,30.13,90.23
65.5535,11.6,0.461,8.23,1260,145,1000,0.03,0.1,48.33,98.41
65.5535,11.6,0.461,8.23,1260,145,1000,0.03,0.14,34.52,93.31
65.5535,11.6,0.461,8.23,1260,145,1000,0.03,0.12,40.28,96.66
65.5535,11.6,0.461,8.23,1260,145,663,0.03,0.12,60.75,94.28
65.5535,11.6,0.461,8.23,1260,135,1200,0.03,0.11,34.09,93.39
65.5535,11.6,0.461,8.23,1260,135,1200,0.03,0.13,28.85,89.45
65.5535,11.6,0.461,8.23,1260,135,800,0.03,0.11,51.14,93.22
65.5535,11.6,0.461,8.23,1260,135,800,0.03,0.13,43.27,91.13
65.5535,11.6,0.461,8.23,1260,125,1000,0.03,0.12,34.72,89.74
87.9804,50,0.377,8.78,999,350,1000,0.03,0.12,97.22,99.66
87.9804,50,0.377,8.78,999,350,900,0.03,0.12,108.02,100.00
87.9804,50,0.377,8.78,999,350,800,0.03,0.12,121.53,99.19
87.9804,50,0.377,8.78,999,350,750,0.03,0.12,129.63,99.34
87.9804,50,0.377,8.78,999,350,700,0.03,0.12,138.89,98.11
87.9804,50,0.377,8.78,999,350,600,0.03,0.12,162.04,98.17
87.9804,50,0.377,8.78,999,350,500,0.03,0.12,194.44,97.11
87.9804,50,0.377,8.78,999,350,400,0.03,0.12,243.06,96.22
87.9804,50,0.377,8.78,999,350,300,0.03,0.12,324.07,95.63
87.9804,50,0.377,8.78,999,300,900,0.03,0.12,92.59,99.76
87.9804,50,0.377,8.78,999,300,800,0.03,0.12,104.17,100.00
87.9804,50,0.377,8.78,999,300,750,0.03,0.12,111.11,99.84
87.9804,50,0.377,8.78,999,300,700,0.03,0.12,119.05,98.81
87.9804,50,0.377,8.78,999,300,600,0.03,0.12,138.89,98.97
87.9804,50,0.377,8.78,999,300,500,0.03,0.12,166.67,97.09
87.9804,50,0.377,8.78,999,300,400,0.03,0.12,208.33,98.21
87.9804,50,0.377,8.78,999,300,300,0.03,0.12,277.78,94.78
87.9804,50,0.377,8.78,999,300,200,0.03,0.12,416.67,93.80
87.9804,50,0.377,8.78,999,200,750,0.03,0.12,74.07,100.00
87.9804,50,0.377,8.78,999,200,700,0.03,0.12,79.37,100.00
87.9804,50,0.377,8.78,999,200,600,0.03,0.12,92.59,100.00
87.9804,50,0.377,8.78,999,200,500,0.03,0.12,111.11,98.48
87.9804,50,0.377,8.78,999,200,400,0.03,0.12,138.89,99.43
87.9804,50,0.377,8.78,999,200,300,0.03,0.12,185.19,97.15
87.9804,50,0.377,8.78,999,200,200,0.03,0.12,277.78,95.47
87.9804,50,0.377,8.78,999,200,100,0.03,0.12,555.56,92.23
56.9809,5.3,0.5,4.65,1660,275,1520,0.045,0.095,42.32,99.88
56.9809,5.3,0.5,4.65,1660,275,1357,0.045,0.095,47.40,99.88
56.9809,5.3,0.5,4.65,1660,275,1090,0.045,0.095,59.02,99.39
56.9809,5.3,0.5,4.65,1660,275,1060,0.045,0.095,60.69,99.49
56.9809,5.3,0.5,4.65,1660,275,814,0.045,0.095,79.03,95.99
56.9809,5.3,0.5,4.65,1660,275,758,0.045,0.095,84.86,97.99
56.9809,5.3,0.5,4.65,1660,275,652,0.045,0.095,98.66,96.99
56.9809,5.3,0.5,4.65,1660,275,581,0.045,0.095,110.72,94.00
56.9809,5.3,0.5,4.65,1660,275,349,0.045,0.095,184.32,96.00
56.9809,5.3,0.5,4.65,1660,187.5,1520,0.045,0.095,28.86,97.99
56.9809,5.3,0.5,4.65,1660,187.5,1120,0.045,0.095,39.16,99.59
56.9809,5.3,0.5,4.65,1660,187.5,1060,0.045,0.095,41.38,99.69
56.9809,5.3,0.5,4.65,1660,187.5,814,0.045,0.095,53.88,99.69
56.9809,5.3,0.5,4.65,1660,187.5,781,0.045,0.095,56.16,99.59
56.9809,5.3,0.5,4.65,1660,187.5,652,0.045,0.095,67.27,97.49
56.9809,5.3,0.5,4.65,1660,187.5,581,0.045,0.095,75.49,94.99
56.9809,5.3,0.5,4.65,1660,187.5,455,0.045,0.095,96.39,98.99
56.9809,5.3,0.5,4.65,1660,187.5,349,0.045,0.095,125.67,95.49
56.9809,5.3,0.5,4.65,1660,100,1520,0.045,0.095,15.39,96.00
56.9809,5.3,0.5,4.65,1660,100,1090,0.045,0.095,21.46,94.99
56.9809,5.3,0.5,4.65,1660,100,1060,0.045,0.095,22.07,98.99
56.9809,5.3,0.5,4.65,1660,100,814,0.045,0.095,28.74,97.99
56.9809,5.3,0.5,4.65,1660,100,758,0.045,0.095,30.86,96.99
56.9809,5.3,0.5,4.65,1660,100,652,0.045,0.095,35.88,98.00
56.9809,5.3,0.5,4.65,1660,100,610,0.045,0.095,38.35,99.48
56.9809,5.3,0.5,4.65,1660,100,455,0.045,0.095,51.41,99.79
56.9809,5.3,0.5,4.65,1660,100,349,0.045,0.095,67.03,97.55
71.3351,151,0.875,2.78,502,300,600,0.04,0.09,138.89,93.31
71.3351,151,0.875,2.78,502,275,600,0.04,0.09,127.31,93.03
71.3351,151,0.875,2.78,502,250,600,0.04,0.09,115.74,93.89
71.3351,151,0.875,2.78,502,225,600,0.04,0.09,104.17,91.98
71.3351,151,0.875,2.78,502,225,400,0.04,0.09,156.25,93.80
71.3351,151,0.875,2.78,502,225,300,0.04,0.09,208.33,94.44
71.3351,151,0.875,2.78,502,225,200,0.04,0.09,312.50,95.06
71.3351,151,0.875,2.78,502,200,400,0.04,0.09,138.89,93.61
71.3351,151,0.875,2.78,502,200,300,0.04,0.09,185.19,94.53
71.3351,151,0.875,2.78,502,200,200,0.04,0.09,277.78,95.60
71.3351,151,0.875,2.78,502,200,100,0.04,0.09,555.56,97.01
71.3351,151,0.875,2.78,502,200,80,0.04,0.09,694.44,97.35
71.3351,151,0.875,2.78,502,175,400,0.04,0.09,121.53,93.34
71.3351,151,0.875,2.78,502,175,300,0.04,0.09,162.04,93.94
71.3351,151,0.875,2.78,502,175,200,0.04,0.09,243.06,94.57
